colegio,provincia,canton,distrito,tipo_colegio,tipo_horario,tipo_modalidad,codigo_zona_procedencia,rama1_mep,in0vacion_mep,v_agregado_mep,ambiental_mep,o_tecnolog_mep,modeloiiicicloydiversificado_mep,deportivo_mep,telesecundaria_mep,liceo_rural_mep,tipo_educa,indigena_mep,territorio_indig_mep,lengua_indig_mep,bilingue_mep,bach_internacional_mep,admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,no admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,no admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,no admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,no admitido
1290,1,1,9,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,1,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
4318,4,9,1,3,diurno,1,2,1,0,0,0,0,0,0,0,0,sin tipo,0,Territorio no indigena,no aplica,0,0,no admitido
